單位,IP
5,175.181.254.124
1,223.136.101.32
5,101.11.19.83
3,1.171.125.55
0,118.233.80.131
5,101.11.19.83
4,180.205.140.84
2,36.226.147.154
5,175.181.254.124
1,223.136.96.231
2,1.162.62.70
2,39.8.36.224
5,27.247.33.253
2,122.116.19.28
2,42.73.169.100
0,36.225.190.85
3,219.70.118.18
6,118.168.170.231
2,140.127.111.236
1,114.42.110.115
5,118.165.72.163
4,180.176.240.18
3,1.164.194.62
2,42.73.169.100
4,61.230.227.216
1,42.73.202.59
3,114.25.8.124
4,36.227.98.198
5,175.181.254.124
4,180.217.144.157
6,118.168.170.231
3,114.45.63.232
0,49.217.3.16
4,118.160.80.73
1,101.8.197.10
1,182.235.173.20
2,220.129.155.15
3,1.161.182.44
3,101.15.241.202
3,1.161.182.44
1,114.42.55.210
1,217.105.53.16
4,1.171.100.109
4,145.100.195.163
2,1.161.187.134
3,180.217.177.23
2,1.169.225.159
3,61.231.20.43
2,39.8.36.224
0,114.136.133.119
0,223.140.125.150
0,111.241.215.64
1,36.224.4.201
5,180.176.211.45
2,39.8.36.224
5,219.70.185.178
2,220.137.218.126
3,220.136.250.247
2,220.137.124.105
2,61.70.247.186
5,39.8.163.118
2,111.71.8.250
4,111.250.44.159
5,1.171.62.91
0,101.10.115.206
5,175.181.254.124
3,111.248.68.129
3,27.242.105.213
1,114.137.235.174
5,39.8.163.118
1,49.216.208.133
0,61.230.135.189
0,61.230.135.189
1,27.52.10.231
0,101.10.115.206
3,114.45.63.232
4,175.181.177.10
1,111.71.50.140
4,180.217.151.135
2,101.13.117.133
4,1.171.164.43
1,36.224.229.2
3,1.161.19.210
1,101.138.185.46
1,27.105.244.121
3,42.73.32.115
1,110.28.107.224
5,203.70.88.56
5,118.169.191.81
2,42.73.169.100
5,203.70.88.56
5,140.92.11.151
5,180.217.188.158
5,39.8.163.118
0,180.217.177.233
3,122.116.172.232
5,210.70.201.9
3,114.45.63.232
3,223.140.40.64
3,223.137.205.124
4,118.168.194.22
2,140.109.92.48
2,118.166.4.74
5,118.169.191.81
2,223.140.149.147
3,36.229.81.239
1,101.138.185.46
4,223.140.228.183
2,118.166.4.74
2,220.137.218.126
2,111.251.54.44
2,114.136.192.244
1,59.115.171.152
4,175.181.177.39
2,101.10.63.52
2,123.194.66.190
5,114.42.144.212
5,58.114.11.53
1,123.192.45.66
1,117.19.211.161
0,1.160.90.35
5,114.42.144.212
0,1.171.71.20
5,36.237.61.230
0,123.194.197.119
5,118.169.191.81
3,219.70.118.18
4,114.136.47.62
0,117.19.224.111
0,36.230.254.71
1,58.115.14.93
2,101.139.84.248
4,118.168.194.22
1,1.164.33.233
2,111.252.84.87
3,114.137.44.113
2,36.226.117.181
4,180.176.127.76
2,220.130.45.77
1,58.115.14.93
4,1.160.93.12
1,36.230.142.228
0,1.171.71.20
5,118.160.119.189
2,111.243.63.168
0,101.15.64.65
3,223.140.40.64
1,180.217.170.95
0,36.230.254.71
4,220.129.160.242
2,27.247.70.157
3,1.162.129.58
1,220.132.8.164
5,117.19.19.24
4,114.36.2.160
3,114.137.246.246
3,61.231.7.33
5,27.247.165.81
4,175.181.177.39
2,180.217.149.18
0,1.171.71.20
0,1.171.71.20
0,1.171.71.20
2,180.217.134.28
2,220.137.218.126
3,36.229.81.239
1,106.104.121.28
0,180.204.163.19
0,1.171.71.20
3,1.161.182.42
3,1.163.42.225
5,223.136.134.53
4,175.181.177.39
2,1.163.79.33
4,123.193.233.13
2,111.250.98.59
4,118.168.194.22
3,36.226.1.223
0,59.115.175.148
4,42.72.108.203
0,36.225.20.13
5,101.12.50.173
0,180.204.163.19
1,59.115.171.152
5,118.169.191.81
4,36.224.133.112
4,111.241.209.97
4,36.224.133.112
1,118.168.119.208
3,1.161.182.42
4,118.165.239.26
3,223.140.40.64
2,220.136.43.84
1,58.115.14.93
1,223.136.23.52
0,111.240.134.175
4,180.214.178.44
2,36.229.156.85
2,59.115.96.163
2,123.192.197.187
3,223.140.40.64
0,1.171.71.20
4,219.84.62.143
1,111.249.3.245
5,114.136.252.48
5,114.136.252.48
2,123.192.197.187
0,36.230.254.71
0,124.109.122.108
4,111.249.3.174
2,223.137.25.229
4,145.100.195.163
3,36.229.81.239
3,36.231.15.58
3,117.19.32.53
0,114.136.37.156
0,49.216.225.205
1,180.217.140.252
3,42.73.51.12
3,203.64.53.102
5,59.115.172.169
4,175.181.177.39
5,122.147.28.141
3,36.248.247.253
2,223.136.159.108
3,61.228.102.237
5,61.216.154.223
0,101.9.145.33
4,211.21.159.16
0,49.216.225.205
0,1.164.193.124
0,1.164.193.124
2,59.60.11.43
5,211.20.1.174
3,27.247.171.172
0,49.216.131.114
3,223.140.238.37
5,203.72.158.42
1,125.227.253.186
3,111.255.169.142
4,150.116.185.140
2,101.139.104.252
5,27.247.43.6
1,39.10.69.193
1,39.10.69.193
2,36.230.33.207
1,192.192.44.126
4,202.39.243.122
0,45.56.73.98
3,114.32.62.102
5,49.215.101.102
1,175.96.192.55
2,123.195.129.105
2,150.116.163.28
3,114.137.177.82
3,36.248.247.253
2,223.136.67.39
1,220.130.139.12
4,175.181.177.39
0,39.12.102.89
5,61.219.221.241
5,163.20.242.224
2,59.60.11.43
5,118.150.28.179
2,140.118.41.108
3,36.248.247.253
4,39.9.228.60
3,59.115.109.200
1,220.130.139.12
2,101.139.104.252
2,101.139.104.252
4,223.140.179.174
4,39.9.232.32
3,111.240.45.201
4,145.100.195.163
3,59.115.109.200
4,61.228.168.35
4,175.181.177.39
4,123.51.133.13
5,210.71.2.5
3,180.217.148.86
2,180.217.168.179
4,118.160.80.73
4,180.217.142.13
1,203.72.69.149
3,114.137.177.85
2,27.246.232.172
1,211.75.237.7
4,211.72.113.121
3,111.240.45.201
0,114.136.27.185
6,223.140.208.254
4,101.139.97.150
0,180.217.142.149
5,101.0.143.173
2,180.217.158.84
0,140.128.76.64
2,59.60.11.43
1,1.171.77.215
4,180.217.142.13
0,49.216.131.114
3,101.8.227.98
3,111.240.45.201
4,223.140.253.123
5,210.71.68.48
4,122.116.85.230
4,111.71.5.79
4,180.217.128.1
1,61.231.178.136
3,61.216.176.117
4,60.251.55.91
1,220.130.139.12
3,111.240.45.201
5,59.115.40.93
5,59.115.40.93
1,58.114.74.25
1,42.73.136.69
5,140.131.38.168
0,59.115.175.148
5,218.35.185.112
2,220.128.121.193
1,118.167.168.9
3,180.217.181.210
1,223.137.110.235
1,114.45.54.123
0,36.227.36.86
5,117.19.210.31
5,111.241.46.183
1,61.230.163.176
0,210.160.8.66
0,123.240.104.121
3,114.45.201.81
0,223.137.82.243
2,1.161.187.134
1,182.235.173.20
1,61.230.114.98
1,220.136.58.178
4,42.73.49.186
3,1.200.200.178
0,36.228.185.27
4,118.168.194.22
5,1.163.149.66
0,117.19.132.218
1,111.250.58.133
3,114.45.205.96
2,150.116.164.10
4,118.168.198.201
0,61.228.89.67
4,111.241.147.78
3,180.217.175.238
3,111.243.93.119
4,118.165.12.61
0,122.116.234.185
4,36.229.179.195
5,1.163.149.66
4,111.248.213.144
5,223.136.134.53
1,123.193.64.173
1,114.42.52.252
1,220.132.8.164
3,220.136.20.128
0,123.192.231.75
4,39.8.165.240
1,111.184.26.95
5,180.204.160.247
0,101.138.92.42
5,27.246.164.253
4,39.8.165.240
5,61.228.104.29
4,101.15.139.234
2,36.231.157.157
0,39.9.40.174
4,39.8.165.240
4,180.217.154.223
5,223.136.134.53
4,36.225.33.195
3,118.169.229.208
2,123.194.169.168
5,122.147.28.141
2,115.82.232.137
3,114.36.37.58
2,220.137.9.253
0,140.113.63.4
1,150.117.250.89
3,59.115.109.200
4,114.24.73.3
0,114.137.188.77
5,123.193.60.100
3,27.242.103.93
1,36.224.24.181
5,115.43.157.244
5,60.248.19.144
1,42.73.55.191
5,163.20.243.69
5,61.216.154.223
2,59.124.79.162
4,115.82.5.97
5,1.163.149.66
5,163.30.63.249
2,118.163.206.138
4,39.8.2.140
0,111.255.10.1
3,101.8.49.177
1,113.190.48.62
5,61.216.154.223
1,49.218.11.231
0,122.146.94.9
4,180.217.161.15
2,110.28.73.37
2,118.167.163.233
1,36.224.24.181
5,61.228.92.226
0,27.52.12.194
5,223.137.229.232
2,140.109.103.227
4,1.164.4.239
5,140.92.18.185
5,1.200.193.250
0,118.161.245.84
0,111.82.87.134
5,180.204.160.247
4,42.72.176.233
4,114.136.75.71
2,36.226.70.97
3,223.140.224.53
0,223.136.211.145
0,49.216.131.114
4,1.200.210.99
3,223.140.224.53
2,192.192.21.27
4,175.96.112.218
1,61.64.211.140
5,192.192.132.5
0,114.137.188.77
2,111.71.79.222
2,210.60.142.148
4,192.192.82.79
4,1.171.155.16
1,39.9.109.2
2,223.136.235.128
3,61.228.102.237
5,115.43.157.244
3,59.120.18.107
6,140.121.202.124
4,101.138.94.194
1,101.11.51.72
1,101.11.51.72
4,122.146.84.72
1,223.137.172.213
4,101.8.137.240
4,36.230.73.253
0,180.217.150.188
4,27.52.77.193
1,180.204.243.73
0,125.227.38.129
1,42.79.122.51
1,223.137.80.64
1,223.137.172.213
3,61.228.102.237
0,111.235.209.175
0,49.217.34.143
2,122.118.15.220
2,36.224.143.98
3,59.115.109.200
0,61.218.165.98
1,111.71.113.235
2,122.116.32.84
3,111.184.37.20
0,60.248.123.154
3,61.228.102.237
5,118.168.87.73
4,60.251.45.137
4,60.251.45.137
5,163.20.243.7
2,180.218.69.94
0,101.13.66.248
2,101.127.208.58
1,1.163.47.251
4,114.136.151.254
2,101.14.228.189
4,60.251.45.137
0,180.217.156.205
1,210.61.150.13
4,49.219.13.64
3,180.217.169.18
2,61.70.247.186
0,220.128.98.134
0,49.218.50.222
4,223.137.194.197
5,36.228.136.224
4,61.223.72.139
3,114.137.91.198
5,118.168.78.78
6,140.121.202.166
0,115.82.177.79
2,123.193.9.112
2,85.158.138.193
2,118.233.250.126
0,119.77.229.206
3,118.169.162.115
5,111.251.66.68
2,220.137.124.105
1,42.98.108.42
1,118.150.121.226
0,36.224.199.8
3,1.171.126.160
0,118.168.225.172
5,59.115.167.222
1,36.227.45.136
0,114.42.219.21
4,150.116.170.103
2,111.240.234.139
6,140.121.202.166
3,114.25.44.190
5,219.70.204.212
1,114.44.37.25
0,49.216.245.235
1,1.34.169.170
1,123.193.64.173
4,61.223.72.139
4,219.85.134.29
1,101.138.105.7
2,123.194.169.168
6,118.167.36.86
1,113.196.149.242
1,123.193.181.232
4,111.248.213.144
3,1.169.109.235
2,1.200.200.50
1,118.160.221.100
4,59.115.134.7
2,203.69.105.3
5,101.15.203.135
2,59.115.215.62
0,123.240.104.121
3,114.42.129.237
5,60.248.19.144
4,180.176.240.18
4,211.21.159.16
2,61.60.126.2
2,59.125.101.168
5,101.15.203.135
3,180.217.160.97
1,36.227.85.119
4,1.161.13.56
4,211.21.159.16
2,61.60.126.2
0,125.227.38.129
2,36.224.143.98
1,223.137.165.62
5,61.216.154.223
3,223.137.18.17
0,101.138.140.27
3,220.137.217.60
2,111.251.140.143
0,101.138.140.27
4,101.11.2.181
1,27.247.36.8
1,61.230.6.41
0,223.136.146.232
5,111.83.162.95
4,118.160.135.180
2,59.60.11.43
5,223.136.114.62
3,27.242.202.162
4,27.247.67.20
2,36.224.143.98
4,180.217.140.113
2,59.124.130.162
1,36.224.226.233
4,223.137.86.138
1,36.224.226.233
4,39.12.200.219
1,113.190.48.62
2,111.71.43.192
4,39.12.200.219
3,61.220.128.116
4,223.137.194.197
5,1.167.134.200
1,60.248.95.61
6,140.121.202.166
1,36.224.143.98
2,122.147.18.13
1,36.224.143.98
2,101.14.178.20
2,36.224.143.98
3,223.136.72.8
3,223.136.94.174
3,223.137.21.166
2,39.10.137.196
2,59.60.11.43
6,203.104.145.38
3,125.227.162.95
1,39.12.108.230
1,223.140.159.154
4,122.146.84.72
5,210.241.78.189
5,115.43.157.244
5,118.150.28.179
2,101.14.178.20
3,114.136.163.100
2,223.140.132.80
5,220.137.218.29
1,150.70.173.8
2,114.136.201.94
1,223.140.62.76
5,42.73.150.23
3,118.169.162.115
3,163.21.132.1
0,1.169.251.43
0,1.160.58.91
5,118.163.88.51
1,36.224.143.98
1,36.224.143.98
3,118.169.162.115
1,110.28.73.30
5,36.225.162.100
4,1.164.242.49
2,140.118.140.138
5,59.115.180.148
0,140.135.12.23
1,123.0.192.188
5,223.137.150.75
5,39.12.9.110
5,1.34.41.171
6,140.121.202.166
3,119.14.43.100
2,61.60.126.2
2,220.133.141.76
3,115.43.135.226
1,223.140.71.60
1,223.136.153.205
4,114.136.75.71
3,118.169.162.115
4,114.136.49.245
5,61.60.126.7
3,118.169.162.115
2,220.135.35.242
3,27.242.109.102
3,27.242.109.102
5,36.225.113.242
4,111.248.213.19
0,59.115.120.77
1,120.108.204.6
5,122.116.234.36
2,223.140.229.74
2,42.77.226.88
4,175.181.175.14
3,101.10.7.134
5,27.246.171.84
3,110.27.7.124
3,101.10.7.134
5,101.13.115.254
3,123.192.2.4
1,114.136.179.95
4,111.71.99.213
0,101.8.178.61
2,195.245.231.202
5,36.225.113.242
5,39.8.0.226
0,223.137.192.221
0,1.160.89.119
2,219.68.111.166
0,223.137.192.221
3,36.225.40.253
2,36.227.38.75
2,36.228.49.150
4,27.147.44.252
4,61.228.123.116
2,210.202.56.4
2,223.137.117.103
5,36.228.101.243
3,113.196.145.153
1,223.140.71.60
3,182.235.174.226
0,111.249.19.4
1,114.43.114.54
1,223.140.71.60
3,36.227.194.10
1,202.79.203.111
4,180.218.172.116
4,218.35.179.252
1,111.243.10.113
2,1.200.200.50
5,101.12.228.233
5,114.42.58.63
1,114.42.224.98
3,180.176.214.76
3,39.10.106.11
4,117.19.150.9
2,118.233.250.126
6,175.96.115.54
1,114.43.114.54
1,150.117.207.5
2,122.147.18.13
3,115.43.135.226
0,150.117.72.119
1,1.34.169.170
2,36.226.171.84
3,114.25.44.190
1,59.124.83.223
0,114.34.95.33
5,39.10.41.214
1,61.216.131.171
5,218.161.0.171
5,211.20.1.174
2,49.159.97.44
2,114.36.0.45
1,211.72.195.222
5,223.136.223.35
2,36.231.82.119
4,1.160.21.66
5,61.216.154.223
3,118.163.67.98
5,1.164.242.83
1,27.247.225.51
2,61.230.114.252
0,115.82.231.133
6,1.161.22.248
5,59.124.13.108
2,125.227.48.201
4,211.21.159.16
1,61.216.131.171
1,36.224.207.109
3,36.231.140.39
2,42.72.104.250
0,140.96.143.57
4,211.21.159.16
0,180.217.142.178
2,223.140.26.104
0,61.218.165.98
5,211.20.1.174
3,52.205.212.221
2,223.137.229.2
6,1.171.66.202
3,220.136.158.171
2,118.161.25.211
5,114.137.178.80
6,1.171.66.202
1,211.75.2.169
4,101.14.224.208
4,220.142.92.252
0,203.74.0.67
2,223.137.70.145
3,42.73.216.181
4,101.15.214.193
3,101.14.230.57
0,60.251.252.210
3,192.162.242.132
3,192.162.242.132
6,1.171.66.202
3,114.45.52.244
2,123.192.79.146
5,123.193.60.100
0,39.10.43.136
4,1.171.164.178
2,59.124.130.162
0,111.241.215.94
3,220.136.158.171
5,114.44.231.203
3,42.73.216.181
3,110.28.128.53
3,115.82.192.207
3,220.136.158.171
2,220.133.141.76
3,114.45.52.244
2,101.127.208.219
5,140.92.11.151
2,27.242.140.165
1,223.137.34.134
5,220.136.226.96
3,1.163.213.231
5,117.19.83.32
3,223.136.233.236
3,118.169.165.110
4,122.118.44.243
3,111.184.37.20
4,223.137.220.18
3,223.136.171.186
4,60.251.45.137
3,123.192.2.4
2,27.247.160.164
2,36.230.203.228
6,1.171.66.202
0,61.216.172.121
3,223.136.171.186
3,118.169.165.110
2,111.83.225.254
2,114.136.77.85
5,36.226.124.188
4,59.115.56.232
0,49.216.50.42
4,1.160.89.174
2,220.137.122.58
1,203.68.167.80
5,123.192.190.110
3,39.10.69.50
5,180.176.109.153
5,36.226.9.220
1,122.116.238.50
0,49.216.50.42
1,122.116.238.50
4,218.35.179.252
4,218.35.179.252
0,119.77.229.206
3,118.169.165.110
0,123.194.197.119
5,117.19.195.30
2,123.192.79.146
3,27.52.139.122
1,61.230.101.36
2,1.163.103.3
5,49.217.149.198
2,114.37.186.195
1,119.14.159.30
1,220.141.19.192
5,114.42.154.78
5,101.15.217.102
4,101.13.8.119
2,27.52.198.191
5,36.235.84.96
3,118.161.35.50
1,111.71.111.182
3,150.70.173.58
0,123.193.61.138
5,27.52.44.150
3,111.184.37.20
4,36.227.36.202
4,36.227.36.202
0,123.193.61.138
0,211.72.13.222
0,1.200.218.4
5,219.71.217.51
2,36.228.108.2
3,42.72.218.177
3,175.180.171.159
3,175.180.171.159
0,123.194.197.119
0,123.194.197.119
0,219.68.236.81
5,61.228.213.83
5,61.228.213.83
3,175.180.206.16
5,140.112.5.32
5,39.9.228.114
1,111.71.111.182
5,114.43.80.152
3,114.42.164.2
3,42.73.76.181
5,220.136.235.98
3,114.42.164.2
5,114.43.80.152
5,114.43.80.152
2,223.141.116.99
4,211.21.121.142
1,101.15.251.213
2,36.224.137.137
2,180.204.210.181
1,61.216.131.171
2,59.60.11.43
2,36.224.137.137
3,113.196.51.213
4,101.8.48.4
1,123.194.255.211
5,211.23.76.67
3,118.163.20.241
5,220.136.235.98
1,220.130.139.12
1,220.130.139.12
1,192.192.44.126
1,220.130.139.12
4,61.31.92.159
1,110.28.8.240
1,180.217.146.70
3,36.231.233.242
5,220.136.235.98
0,49.216.5.71
1,1.35.179.173
3,42.72.130.201
5,39.9.233.192
2,36.224.137.137
4,39.12.34.9
4,180.217.140.113
4,110.28.141.58
1,39.9.193.254
3,60.250.30.228
5,39.9.233.192
5,211.23.76.67
4,223.137.188.217
6,220.138.21.58
5,36.235.84.96
3,60.250.30.228
1,59.115.135.146
5,111.82.67.64
6,27.242.234.168
5,180.204.128.112
5,39.8.102.239
0,111.71.41.63
4,101.138.181.123
3,101.14.196.217
0,223.140.5.162
1,114.43.112.171
1,223.137.238.0
2,59.60.11.43
2,118.166.4.129
4,220.130.184.157
3,111.252.60.153
2,118.166.4.129
3,223.136.172.22
5,210.69.173.254
5,180.176.113.222
3,125.227.162.95
3,36.229.101.28
5,60.251.42.95
3,61.228.140.166
2,59.60.11.43
3,114.45.52.105
1,27.52.4.219
2,123.192.192.169
3,111.71.13.32
5,223.140.154.73
1,61.216.131.171
0,220.228.146.66
3,36.229.101.28
3,36.229.140.186
2,61.230.167.159
1,220.132.152.123
3,223.136.45.38
6,140.121.202.166
3,59.120.18.107
3,180.217.171.33
3,180.217.171.33
5,163.20.180.253
3,36.229.140.186
0,220.228.146.66
2,61.228.43.245
2,223.137.182.7
4,140.110.207.186
4,114.45.124.129
4,114.45.124.129
6,140.121.202.166
4,118.150.213.230
1,60.250.129.225
2,114.43.231.98
2,124.155.178.155
2,150.70.173.49
5,117.56.22.241
4,42.73.248.45
3,180.206.7.165
4,111.71.117.23
5,1.160.247.71
1,114.44.222.70
5,150.117.206.122
2,1.164.169.96
5,1.160.19.155
3,118.169.165.110
5,39.8.74.228
0,49.217.133.237
1,36.224.254.232
0,180.217.130.116
0,101.15.5.115
3,111.241.62.11
2,1.164.169.96
5,1.160.19.155
5,180.176.119.207
4,118.169.252.2
0,111.251.51.98
3,118.169.165.110
1,114.36.116.19
2,58.115.131.78
2,101.139.137.173
3,114.45.52.244
2,223.136.10.169
1,36.224.254.232
6,114.136.31.208
0,180.204.163.0
0,101.8.51.76
1,180.217.132.161
4,180.217.153.238
1,36.224.254.232
2,1.161.187.217
3,39.9.198.196
0,101.8.51.76
4,180.176.124.249
1,114.137.244.154
1,36.231.180.153
1,118.150.186.104
4,117.19.243.242
5,220.136.198.203
1,101.9.211.114
4,180.176.124.249
6,1.171.66.202
4,180.176.124.249
4,111.248.213.19
3,118.168.64.187
1,150.117.73.98
3,115.43.135.226
2,1.162.74.51
3,101.11.0.246
1,59.115.42.77
4,111.248.213.19
0,27.52.67.210
3,27.242.71.252
0,1.200.195.74
3,175.180.234.72
2,114.43.231.215
2,111.251.136.40
4,180.176.124.249
2,101.13.85.176
2,1.164.243.83
2,101.13.85.176
1,118.150.186.104
2,123.192.215.249
5,110.28.45.216
2,39.9.234.194
3,111.252.60.153
0,117.19.196.241
3,114.42.148.239
6,111.241.215.74
0,101.8.51.76
4,175.181.177.39
6,111.241.215.74
2,220.138.23.104
2,114.44.217.189
4,119.14.44.13
4,101.10.80.174
4,175.181.177.39
4,180.217.140.113
1,118.171.136.112
0,1.200.211.117
2,1.160.196.30
4,150.117.220.6
3,223.136.107.165
4,27.246.130.62
4,180.217.140.113
1,223.140.61.63
1,220.141.19.192
4,180.217.140.113
3,110.28.4.77
2,111.251.136.40
5,140.122.136.105
5,36.227.9.158
0,111.248.185.126
2,172.94.41.34
5,118.169.190.75
5,114.37.8.225
2,111.251.136.40
4,114.35.124.247
3,114.42.37.197
3,114.25.36.172
6,59.105.112.250
1,118.171.136.112
2,220.138.23.204
1,115.82.224.211
2,111.251.136.40
3,115.82.197.149
3,114.42.37.197
2,36.231.140.53
5,180.176.211.45
4,119.77.204.75
0,220.128.98.134
2,36.231.140.53
5,223.26.108.210
1,114.137.244.154
3,27.246.198.33
2,36.230.139.239
3,39.10.42.240
2,117.19.195.236
1,114.36.152.111
1,220.141.19.192
2,79.217.109.58
3,114.43.111.213
0,118.150.94.109
3,119.14.43.100
4,180.176.124.249
1,101.15.242.242
2,211.75.237.7
1,39.9.38.130
2,111.251.136.40
5,180.217.148.124
3,118.167.26.56
3,36.229.100.17
5,36.224.66.166
3,42.77.144.215
5,39.8.74.228
4,180.176.124.249
4,36.227.168.178
2,36.230.139.239
5,39.8.74.228
2,220.137.122.58
5,36.224.66.166
4,101.10.19.163
0,115.82.200.241
3,1.162.129.166
2,123.192.215.249
2,111.240.235.93
4,114.40.62.61
3,223.139.177.116
5,118.150.28.179
1,118.150.186.104
1,114.37.184.66
1,61.231.65.50
1,118.150.186.104
4,36.229.205.137
4,101.10.19.163
4,114.36.42.241
5,111.252.237.154
3,36.225.19.30
3,36.226.35.93
5,39.8.74.228
3,211.22.7.217
3,36.226.35.93
0,49.216.149.70
3,123.192.2.4
1,111.240.8.158
0,180.217.135.88
5,111.251.143.94
2,101.13.85.176
3,61.228.46.230
4,1.161.19.216
2,118.166.130.193
4,180.217.140.113
1,111.240.8.158
1,118.150.186.104
1,180.217.181.195
4,111.250.146.93
3,42.77.100.210
1,114.34.171.89
1,114.34.171.89
2,36.228.109.46
3,114.24.233.107
4,114.40.62.61
5,42.72.116.56
3,61.64.65.22
2,118.161.28.236
3,61.64.65.22
3,61.64.65.22
2,114.24.9.114
3,61.228.46.230
2,61.223.38.3
5,122.116.107.224
1,111.240.8.158
2,123.195.172.250
4,101.13.209.95
3,36.230.228.209
2,180.176.47.172
4,36.231.8.1
4,180.176.124.249
2,111.251.136.40
4,36.230.79.238
5,123.194.0.225
2,61.223.38.3
1,220.141.19.192
3,101.138.121.178
2,110.28.170.196
5,59.124.13.108
3,114.44.180.36
3,180.217.143.231
5,39.8.74.228
3,122.118.190.89
4,114.45.52.186
4,180.217.159.55
5,27.247.173.204
4,180.176.124.249
3,180.218.30.236
1,118.150.186.104
3,114.24.233.107
5,140.112.115.226
3,123.194.49.154
5,123.205.90.89
3,123.194.49.154
2,223.140.10.196
5,114.137.66.215
4,114.45.52.186
4,223.136.42.24
5,180.176.109.153
3,111.83.47.9
4,180.217.159.55
6,118.166.140.238
0,36.225.16.252
2,61.62.20.58
0,36.225.16.252
4,111.248.212.208
3,118.160.92.218
4,180.217.159.55
0,114.24.147.194
1,101.13.16.3
5,111.241.189.38
0,180.217.191.107
3,180.218.30.236
4,180.217.159.55
5,180.176.109.153
0,119.77.229.206
5,122.116.234.220
4,1.164.9.135
2,110.28.131.26
4,175.181.177.39
4,61.230.141.59
4,180.217.129.1
1,220.141.19.192
0,119.77.229.206
4,123.193.34.213
3,1.174.96.107
5,1.34.41.171
2,114.43.237.100
4,123.193.34.213
2,114.43.235.160
5,36.226.214.131
3,118.165.36.159
3,180.217.149.251
0,114.136.211.166
5,61.231.16.112
1,1.200.203.154
1,220.141.19.192
2,223.136.94.197
3,49.217.139.125
1,1.171.53.124
5,39.8.74.228
5,118.160.81.132
5,180.176.109.153
0,219.71.133.190
5,101.14.161.192
1,36.228.250.43
0,61.230.79.73
2,61.63.100.208
3,1.160.146.39
4,150.117.220.6
2,49.159.113.58
2,218.187.177.146
1,101.139.136.98
6,42.77.220.153
2,218.187.177.146
4,175.181.177.39
4,111.250.68.50
0,117.19.102.187
5,36.230.171.105
2,61.63.100.208
5,111.243.205.174
5,111.243.205.174
2,60.250.154.31
5,140.112.5.32
1,123.192.119.227
1,36.226.254.230
3,1.161.182.192
4,118.168.193.39
5,36.230.171.105
4,180.176.98.178
2,61.63.100.208
5,111.243.205.174
5,111.243.205.174
3,114.37.107.149
4,111.250.68.50
0,49.217.102.161
3,1.161.141.65
4,180.176.240.18
2,123.192.79.146
3,114.24.233.107
2,114.43.105.90
3,114.45.52.105
4,118.150.38.254
2,1.163.221.213
4,111.250.68.50
2,79.7.63.30
0,219.71.133.190
2,151.49.185.210
2,42.73.114.25
1,220.132.8.164
2,101.14.48.128
5,163.20.243.69
4,36.231.130.49
3,220.129.155.186
3,123.51.165.114
2,36.229.98.120
1,192.192.44.126
5,163.20.243.69
5,223.136.18.92
2,114.43.237.100
1,114.137.244.154
2,180.217.176.120
2,60.250.155.19
3,220.128.136.24
6,223.136.187.203
4,101.9.153.126
2,60.250.155.19
4,61.220.38.45
2,175.96.115.212
4,175.181.177.39
3,101.15.48.113
3,114.45.52.105
4,211.21.159.16
1,223.140.203.30
2,61.230.167.159
3,114.137.179.171
2,114.43.237.100
3,1.200.193.67
4,60.251.57.46
3,118.161.89.47
2,36.229.98.120
3,1.200.193.67
2,114.136.254.8
0,140.126.169.2
3,113.196.51.211
4,223.140.99.82
4,115.43.179.101
3,114.45.50.234
3,117.56.40.210
5,140.125.43.162
0,123.51.215.130
0,124.219.38.7
5,182.234.33.131
1,218.210.61.211
3,117.56.40.210
0,60.251.140.226
6,140.121.202.166
4,1.171.177.221
2,122.118.11.85
2,213.178.197.210
5,114.37.10.145
4,223.140.79.212
1,101.139.104.198
3,61.220.113.36
2,220.130.204.4
0,27.246.166.125
4,36.230.79.238
1,211.75.2.169
4,180.217.164.17
4,36.230.79.238
2,220.130.204.4
4,61.220.38.45
5,1.160.23.127
4,42.72.71.128
1,220.130.139.12
1,61.219.51.169
5,114.34.2.97
1,117.19.39.249
2,46.226.50.229
4,118.163.58.205
3,123.194.48.104
1,61.219.51.169
5,180.176.211.45
5,27.147.18.246
1,223.140.183.138
1,61.216.154.49
1,117.19.39.249
5,60.251.42.95
1,223.136.154.37
5,101.15.137.11
4,101.9.195.22
4,39.9.134.62
3,27.246.231.216
3,123.192.135.21
1,192.192.44.126
5,114.136.255.21
3,118.161.39.247
3,150.70.173.6
4,114.137.245.120
0,175.182.163.94
3,114.44.221.43
5,1.171.34.28
3,123.194.48.104
2,1.163.200.94
4,111.250.107.103
2,114.43.239.134
4,115.43.179.101
2,114.43.239.43
2,36.229.98.120
3,119.14.72.65
5,27.52.11.244
5,101.8.97.43
5,101.15.137.11
5,42.73.211.124
0,175.182.138.20
5,118.165.16.200
4,115.43.179.101
2,36.238.196.145
2,36.229.98.120
2,61.228.35.69
3,27.246.106.141
5,118.165.16.200
1,1.171.165.134
4,118.168.201.127
2,150.116.164.10
2,114.43.239.43
0,36.224.254.35
5,59.115.184.151
1,118.166.120.169
2,61.231.179.183
0,111.83.13.164
2,124.155.178.155
4,118.150.212.161
3,49.217.139.125
5,118.160.124.232
2,122.147.18.13
1,39.8.130.218
4,175.181.177.39
2,36.238.196.145
2,118.160.126.249
0,27.242.135.101
2,114.36.97.188
